Person Code,Module Code,year,Surname,Forename,Module Name,Event ID,Object ID,Event Slot ID,Date,Has Attended,Attended,NotAttended,Attendance Code,full_name,student_overall_attendance,Standardised Student Overall Attendance
129,278,2025,Lewis,Ursula,Nursing,37,37,574,2025-04-03,Y,1,1,O,Ursula Lewis,0.875,0.7774987879132026
129,492,2023,Lewis,Ursula,Italian,726,37,1040,2023-11-03,N,0,0,A,Ursula Lewis,0.875,0.7774987879132026
280,1266,2024,Lim,Michael,History,846,726,1123,2024-07-03,N,0,0,A,Michael Lim,0.21621621621621623,-2.4546980308327564
280,1266,2024,Lim,Michael,History,846,726,653,2024-10-09,N,0,0,A,Michael Lim,0.21621621621621623,-2.4546980308327564
280,1266,2023,Lim,Michael,History,846,726,776,2023-12-27,N,0,0,A,Michael Lim,0.21621621621621623,-2.4546980308327564
280,1266,2025,Lim,Michael,History,295,726,735,2025-08-02,N,0,0,A,Michael Lim,0.21621621621621623,-2.4546980308327564
280,1266,2023,Lim,Michael,History,295,726,271,2023-07-02,N,0,0,A,Michael Lim,0.21621621621621623,-2.4546980308327564
280,557,2023,Lim,Michael,Arabic,924,726,1124,2023-09-18,Y,1,1,Y,Michael Lim,0.21621621621621623,-2.4546980308327564
440,871,2023,Jain,Yang,Database Design,658,846,592,2023-09-19,N,0,0,A,Yang Jain,0.17142857142857143,-2.6744400563123354
440,871,2023,Jain,Yang,Database Design,682,846,68,2023-07-07,N,0,0,A,Yang Jain,0.17142857142857143,-2.6744400563123354
440,1622,2023,Jain,Yang,Spanish,286,846,453,2023-04-13,N,0,0,A,Yang Jain,0.17142857142857143,-2.6744400563123354
384,1266,2023,Clark,Ruth,History,295,295,715,2023-11-11,Y,1,1,P,Ruth Clark,0.6986301369863014,-0.08782626134853598
384,557,2024,Clark,Ruth,Arabic,880,295,458,2024-11-12,Y,1,1,Y,Ruth Clark,0.6986301369863014,-0.08782626134853598
225,871,2025,Robert,Elena,Database Design,658,924,589,2025-01-28,Y,1,1,P,Elena Robert,0.8582089552238806,0.6951167335203665
225,871,2025,Robert,Elena,Database Design,682,924,1118,2025-01-20,Y,1,1,P,Elena Robert,0.8582089552238806,0.6951167335203665
225,1622,2023,Robert,Elena,Spanish,286,924,453,2023-04-13,Y,1,1,P,Elena Robert,0.8582089552238806,0.6951167335203665
225,1622,2025,Robert,Elena,Spanish,286,924,426,2025-08-25,Y,1,1,P,Elena Robert,0.8582089552238806,0.6951167335203665
225,1622,2024,Robert,Elena,Spanish,286,924,232,2024-02-29,Y,1,1,P,Elena Robert,0.8582089552238806,0.6951167335203665
416,1266,2023,Rossi,Daniel,History,846,658,812,2023-01-08,N,0,0,A,Daniel Rossi,0.7741935483870968,0.2829111853755661
1,871,2024,Rodriguez,Ahmad,Database Design,658,682,1019,2024-12-19,N,0,0,A,Ahmad Rodriguez,0.6492537313432836,-0.33008216559048353
1,1622,2024,Rodriguez,Ahmad,Spanish,286,682,859,2024-09-13,Y,1,1,P,Ahmad Rodriguez,0.6492537313432836,-0.33008216559048353
435,871,2023,White,Linda,Database Design,658,286,977,2023-03-29,Y,1,1,P,Linda White,0.8680555555555556,0.7434271975161655
